DATE,Rainfall Rate,Rainfall level,Water level,Class,elevation,Slope,Distance from River
04/01/2024 00:00,0,LIGHT,4383.425,HIGH,13,1.39190221,127.5
04/01/2024 01:00,0,LIGHT,4377.270833,HIGH,13.2,1.46716166,122.2
04/01/2024 02:00,0,LIGHT,4374.595833,HIGH,13.6,1.18295407,106.96
04/01/2024 03:00,0,LIGHT,4365.4875,HIGH,13.9,2.49744964,84.6
04/01/2024 04:00,1.830508475,LIGHT,4361.708333,HIGH,13.6,3.42179823,80.65
04/01/2024 05:00,0,LIGHT,4363.966667,HIGH,13.6,3.228374,73.21
04/01/2024 06:00,0,LIGHT,4361.208333,HIGH,13.8,1.67271197,65.24
04/01/2024 07:00,0,LIGHT,4366.016667,HIGH,13.5,1.03755331,60.31
04/01/2024 08:00,0,LIGHT,4391.829167,HIGH,13.1,1.39190221,50.8
04/01/2024 09:00,0,LIGHT,4416.116667,HIGH,12.2,2.07442665,36.8
04/01/2024 10:00,0,LIGHT,4419.520833,HIGH,11.7,2.07442665,22.847
04/01/2024 11:00,0,LIGHT,4430.520833,HIGH,11.4,0.73370111,14.37
04/01/2024 12:00,0,LIGHT,4437.641667,HIGH,11.1,0.73370111,6.408
04/01/2024 13:00,0,LIGHT,4444.2375,HIGH,11,0.6562494,5.013
04/01/2024 14:00,0,LIGHT,4444.65,HIGH,11,1.46716166,17.17
04/01/2024 15:00,0,LIGHT,4446.7,HIGH,11.3,1.35270059,29.214
04/01/2024 16:00,0,LIGHT,4448.204167,HIGH,11.9,0.98432028,39.53
04/01/2024 17:00,0,LIGHT,4444.616667,HIGH,12.5,0.73370111,48.63
04/01/2024 18:00,0,LIGHT,4438.3125,HIGH,12.9,1.18295407,54.18
04/01/2024 19:00,0,LIGHT,4429.458333,HIGH,13.1,0.6562494,77.78
04/01/2024 20:00,0,LIGHT,4413.733333,HIGH,13.1,1.85558569,80.63
04/01/2024 21:00,0,LIGHT,4404.983333,HIGH,13.2,0.46404853,97.5
04/01/2024 22:00,0,LIGHT,4400.470833,HIGH,13.1,2.07442665,105.92
04/01/2024 23:00,0,LIGHT,4394.908333,HIGH,13.1,3.82105112,116.1
05/01/2024 00:00,0,LIGHT,4388.625,HIGH,13,3.82105112,101
05/01/2024 01:00,0,LIGHT,4390.354167,HIGH,13,4.45417881,84.65
05/01/2024 02:00,0,LIGHT,4391.75,HIGH,13,5.1224966,70.63
05/01/2024 03:00,22.37288136,INTENSE,4387.925,HIGH,12.1,2.36490035,40.59
05/01/2024 04:00,0.813559322,LIGHT,4384.366667,HIGH,11.2,1.91265225,27.876
05/01/2024 05:00,13.22033898,HEAVY,4380.4375,HIGH,10.9,1.64024699,19.117
05/01/2024 06:00,36,TORRENTIAL,4378.5625,HIGH,10.9,2.96876574,6.056
05/01/2024 07:00,18.10169492,INTENSE,4379.866667,HIGH,11.2,2.20014167,8.602
05/01/2024 08:00,0,LIGHT,4405.6,HIGH,11.2,2.96876574,14.563
05/01/2024 09:00,0,LIGHT,4422.516667,HIGH,11.7,3.02248573,27.635
05/01/2024 10:00,0,LIGHT,4438.7125,HIGH,13.3,0.46404853,43.97
05/01/2024 11:00,0,LIGHT,4453.995833,HIGH,14.8,1.03755331,55.7
05/01/2024 12:00,0,LIGHT,4459.329167,HIGH,15.1,2.70389485,70.34
05/01/2024 13:00,0,LIGHT,4461.408333,HIGH,15.1,2.80138683,94.6
05/01/2024 14:00,0,LIGHT,4464.595833,HIGH,14,0.6562494,113.27
05/01/2024 15:00,0,LIGHT,4469.4875,HIGH,12.7,2.38750553,134.78
05/01/2024 16:00,0,LIGHT,4462.458333,HIGH,11.8,4.05208683,150.58
05/01/2024 17:00,0,LIGHT,4459.1125,HIGH,10.6,4.45417881,165.2
05/01/2024 18:00,0,LIGHT,4445.333333,HIGH,9.8,5.09120321,166.55
05/01/2024 19:00,0,LIGHT,4436.504167,HIGH,8.7,6.34523964,170.5
05/01/2024 20:00,0,LIGHT,4423.766667,HIGH,8.5,4.9208765,119.12
05/01/2024 21:00,0,LIGHT,4414.233333,HIGH,8.2,1.18295407,114.43
05/01/2024 22:00,0,LIGHT,4413.070833,HIGH,8.6,0.73370111,95.27
05/01/2024 23:00,0,LIGHT,4413.379167,HIGH,8.8,3.37449098,83.44
06/01/2024 00:00,0,LIGHT,4410.541667,HIGH,9.7,4.54907036,68.16
06/01/2024 01:00,0,LIGHT,4400.591667,HIGH,11,3.228374,39.26
06/01/2024 02:00,0,LIGHT,4392.608333,HIGH,10.6,2.64366388,30.85
06/01/2024 03:00,57.76271186,TORRENTIAL,4389.729167,HIGH,10.3,3.02248573,20.18
06/01/2024 04:00,66.50847458,TORRENTIAL,4393.758333,HIGH,10,3.228374,8.434
06/01/2024 05:00,0,LIGHT,4393.2625,HIGH,10,3.09265065,1.7796
06/01/2024 06:00,5.491525424,MODERATE,4391.891667,HIGH,10,4.98544502,11.63
06/01/2024 07:00,21.3559322,INTENSE,4394.3375,HIGH,10.4,4.05208683,25.056
06/01/2024 08:00,17.28813559,INTENSE,4401.670833,HIGH,10.8,1.46716166,34.735
06/01/2024 09:00,0,LIGHT,4355,HIGH,11.2,1.91265225,45.87
06/01/2024 10:00,0,LIGHT,0,VERY LOW,12.5,0.6562494,64.32
06/01/2024 11:00,0,LIGHT,0,VERY LOW,13.4,2.64366388,78.37
06/01/2024 12:00,3.692307692,MODERATE,4125.542056,HIGH,14,1.9680599,106.1
06/01/2024 13:00,0,LIGHT,4507.1125,HIGH,13.8,2.64366388,85.19
06/01/2024 14:00,0,LIGHT,4488.294606,HIGH,13.5,1.18295407,77.24
06/01/2024 15:00,0,LIGHT,4477.65,HIGH,10.6,1.67271197,29.614
06/01/2024 16:00,0,LIGHT,4477.991667,HIGH,10.9,0.6562494,7.264
06/01/2024 17:00,0,LIGHT,4473.341667,HIGH,11.6,1.76652288,30.41
06/01/2024 18:00,0,LIGHT,4463.925,HIGH,10.5,2.36490035,66.89
06/01/2024 19:00,0,LIGHT,4458.816667,HIGH,9.5,4.39381409,93.93
06/01/2024 20:00,0,LIGHT,4455.595833,HIGH,9.1,4.63047934,105.75
06/01/2024 21:00,0,LIGHT,4444.3125,HIGH,9.1,3.27780986,119.54
06/01/2024 22:00,0,LIGHT,4432.8875,HIGH,9.2,2.20014167,129.8
06/01/2024 23:00,0,LIGHT,4421.170833,HIGH,8.5,1.76652288,142.19
07/01/2024 00:00,0,LIGHT,4413.9,HIGH,7.5,0.73370111,164.63
07/01/2024 01:00,0,LIGHT,4407.129167,HIGH,6.7,1.85558569,179.92
07/01/2024 02:00,0,LIGHT,4399.304167,HIGH,6,2.80138683,207.8
07/01/2024 03:00,7.728813559,HEAVY,4397.704167,HIGH,6.3,2.64366388,237.4
07/01/2024 04:00,0,LIGHT,4400,HIGH,6.9,3.34257746,256.6
07/01/2024 05:00,0,LIGHT,4400.579167,HIGH,6,2.9324019,301.64
07/01/2024 06:00,0,LIGHT,4399.666667,HIGH,6.1,2.10017395,334.4
07/01/2024 07:00,0,LIGHT,4404.208333,HIGH,6,1.64024699,312
07/01/2024 08:00,0,LIGHT,4421.783333,HIGH,6.2,3.82105112,302.8
07/01/2024 09:00,0,LIGHT,4439.129167,HIGH,6.5,0.46404853,262.75
07/01/2024 10:00,0,LIGHT,4442.286307,HIGH,6,5.89472437,222.86
07/01/2024 11:00,0,LIGHT,4447.0125,HIGH,7.1,4.9208765,198.53
07/01/2024 12:00,0,LIGHT,4452.204167,HIGH,7.9,4.1434288,168.7
07/01/2024 13:00,0,LIGHT,4448.708333,HIGH,7.9,4.05208683,157.42
07/01/2024 14:00,0,LIGHT,4450.183333,HIGH,7.1,1.46716166,119.54
07/01/2024 15:00,0,LIGHT,4442.545833,HIGH,7,0,108.45
07/01/2024 16:00,0,LIGHT,4440.358333,HIGH,7,1.39190221,100.8
07/01/2024 17:00,0,LIGHT,4433.941667,HIGH,7,1.85558569,100.85
07/01/2024 18:00,0,LIGHT,4426.258333,HIGH,7.4,0.92803621,78.57
07/01/2024 19:00,0,LIGHT,4420.670833,HIGH,7.9,3.54483652,68.38
07/01/2024 20:00,0,LIGHT,4411.291667,HIGH,8.3,3.61959124,53.72
07/01/2024 21:00,0,LIGHT,4404.025,HIGH,8.3,4.10453463,48.96
07/01/2024 22:00,0,LIGHT,4398.0125,HIGH,8.6,4.86640167,31.3
07/01/2024 23:00,0,LIGHT,4394.141667,HIGH,8.7,3.94507098,9.924
08/01/2024 00:00,0,LIGHT,4385.65,HIGH,9.1,1.99518502,17.693
08/01/2024 01:00,0,LIGHT,4392.2375,HIGH,9.5,1.31232667,37.81
08/01/2024 02:00,5.694915254,MODERATE,4399.841667,HIGH,9.7,2.80138683,46.835
08/01/2024 03:00,1.423728814,LIGHT,4423.770833,HIGH,10,5.32632017,62.24
08/01/2024 04:00,36.20338983,TORRENTIAL,4427.933333,HIGH,9.3,5.1224966,75.47
08/01/2024 05:00,24,INTENSE,4403.741667,HIGH,8.1,3.94507098,108.01
08/01/2024 06:00,0,LIGHT,4383.3625,HIGH,7.7,3.10994267,120.26
08/01/2024 07:00,0,LIGHT,4384.5875,HIGH,8.2,2.96876574,133.61
08/01/2024 08:00,0,LIGHT,4405.983333,HIGH,8.8,1.99518502,147.33
08/01/2024 09:00,0,LIGHT,4428.254167,HIGH,8.9,2.20014167,149.2
08/01/2024 10:00,0,LIGHT,4434.7,HIGH,9.3,2.82047844,108.52
08/01/2024 11:00,0,LIGHT,4438.204167,HIGH,10.1,2.31902623,104.34
08/01/2024 12:00,0,LIGHT,4451.466667,HIGH,11.8,2.96876574,74.22
